Airline,FlightNumber,LocalDepartureDate,AircraftType,DepartureAirport,SegmentArrivalAirport,CenterOfGravityCabin,PassengerCount
KL,661,14-3-2024,789,AMS,IAH,CABIN0D,70
KL,601,23-2-2024,789,AMS,LAX,CABIN0E,52
KL,661,2/1/2024,789,AMS,IAH,CABIN0C,68
KL,661,23-1-2024,789,AMS,IAH,CABIN0A,29
KL,661,31-1-2024,789,AMS,IAH,CABIN0E,42
KL,661,27-1-2024,789,AMS,IAH,CABIN0E,62
KL,879,28-1-2024,789,AMS,BLR,CABIN0C,70
KL,661,19-1-2024,789,AMS,IAH,CABIN0B,28
KL,661,12/2/2024,789,AMS,IAH,CABIN0C,30
KL,879,5/2/2024,789,AMS,BLR,CABIN0A,30
KL,605,5/3/2024,789,AMS,SFO,CABIN0A,30
KL,879,1/1/2024,789,AMS,BLR,CABIN0D,69
KL,661,18-1-2024,789,AMS,IAH,CABIN0D,50
KL,661,29-2-2024,789,AMS,IAH,CABIN0E,35
KL,661,3/3/2024,789,AMS,IAH,CABIN0C,59
KL,661,14-3-2024,789,AMS,IAH,CABIN0C,55
KL,661,4/1/2024,789,AMS,IAH,CABIN0A,28
KL,661,4/2/2024,789,AMS,IAH,CABIN0E,37
KL,879,15-1-2024,789,AMS,BLR,CABIN0E,59
KL,879,11/2/2024,789,AMS,BLR,CABIN0B,33
KL,661,2/2/2024,789,AMS,IAH,CABIN0E,48
KL,879,5/2/2024,789,AMS,BLR,CABIN0E,52
KL,605,2/2/2024,789,AMS,SFO,CABIN0B,37
KL,661,21-1-2024,789,AMS,IAH,CABIN0B,37
KL,879,22-1-2024,789,AMS,BLR,CABIN0A,29
KL,879,22-1-2024,789,AMS,BLR,CABIN0D,69
KL,879,12/2/2024,789,AMS,BLR,CABIN0D,65
KL,661,17-1-2024,789,AMS,IAH,CABIN0A,27
KL,661,24-1-2024,789,AMS,IAH,CABIN0C,31
KL,661,4/3/2024,789,AMS,IAH,CABIN0B,35
KL,661,20-1-2024,789,AMS,IAH,CABIN0C,34
KL,879,19-2-2024,789,AMS,BLR,CABIN0C,46
KL,879,18-3-2024,789,AMS,BLR,CABIN0B,30
KL,661,16-2-2024,789,AMS,IAH,CABIN0E,50
KL,661,22-2-2024,789,AMS,IAH,CABIN0A,29
KL,879,25-2-2024,789,AMS,BLR,CABIN0E,47
KL,879,4/3/2024,789,AMS,BLR,CABIN0B,33
KL,661,8/1/2024,789,AMS,IAH,CABIN0C,68
KL,661,10/3/2024,789,AMS,IAH,CABIN0D,72
KL,661,10/3/2024,789,AMS,IAH,CABIN0B,37
KL,661,20-3-2024,789,AMS,IAH,CABIN0B,28
KL,879,18-3-2024,789,AMS,BLR,CABIN0E,47
KL,661,11/1/2024,789,AMS,IAH,CABIN0B,26
KL,661,24-1-2024,789,AMS,IAH,CABIN0B,28
KL,661,8/1/2024,789,AMS,IAH,CABIN0A,30
KL,661,23-1-2024,789,AMS,IAH,CABIN0B,33
KL,661,26-1-2024,789,AMS,IAH,CABIN0A,29
KL,661,19-2-2024,789,AMS,IAH,CABIN0B,39
KL,661,3/3/2024,789,AMS,IAH,CABIN0E,58
KL,879,14-1-2024,789,AMS,BLR,CABIN0A,28
KL,661,14-1-2024,789,AMS,IAH,CABIN0D,71
KL,661,17-1-2024,789,AMS,IAH,CABIN0B,17
KL,661,7/3/2024,789,AMS,IAH,CABIN0A,27
KL,879,11/2/2024,789,AMS,BLR,CABIN0C,50
KL,879,26-2-2024,789,AMS,BLR,CABIN0C,29
KL,879,19-2-2024,789,AMS,BLR,CABIN0D,72
KL,879,18-3-2024,789,AMS,BLR,CABIN0D,54
KL,661,7/1/2024,789,AMS,IAH,CABIN0E,62
KL,661,21-1-2024,789,AMS,IAH,CABIN0C,63
KL,661,21-2-2024,789,AMS,IAH,CABIN0E,59
KL,661,11/2/2024,789,AMS,IAH,CABIN0A,30
KL,661,16-2-2024,789,AMS,IAH,CABIN0C,34
KL,879,29-1-2024,789,AMS,BLR,CABIN0B,35
KL,879,25-2-2024,789,AMS,BLR,CABIN0B,35
KL,879,4/3/2024,789,AMS,BLR,CABIN0D,47
KL,661,9/1/2024,789,AMS,IAH,CABIN0A,30
KL,661,2/2/2024,789,AMS,IAH,CABIN0B,23
KL,661,5/3/2024,789,AMS,IAH,CABIN0D,53
KL,879,5/2/2024,789,AMS,BLR,CABIN0B,28
KL,879,11/3/2024,789,AMS,BLR,CABIN0E,62
KL,661,20-1-2024,789,AMS,IAH,CABIN0D,70
KL,661,15-2-2024,789,AMS,IAH,CABIN0D,58
KL,661,2/1/2024,789,AMS,IAH,CABIN0E,56
KL,661,16-1-2024,789,AMS,IAH,CABIN0B,22
KL,661,1/3/2024,789,AMS,IAH,CABIN0B,34
KL,661,13-3-2024,789,AMS,IAH,CABIN0A,30
KL,605,5/3/2024,789,AMS,SFO,CABIN0D,66
KL,879,1/1/2024,789,AMS,BLR,CABIN0E,61
KL,879,28-1-2024,789,AMS,BLR,CABIN0E,61
KL,661,27-1-2024,789,AMS,IAH,CABIN0C,66
KL,879,11/2/2024,789,AMS,BLR,CABIN0E,60
KL,661,6/3/2024,789,AMS,IAH,CABIN0C,26
KL,879,21-1-2024,789,AMS,BLR,CABIN0D,71
KL,879,29-1-2024,789,AMS,BLR,CABIN0E,58
KL,879,25-3-2024,789,AMS,BLR,CABIN0A,24
KL,605,5/3/2024,789,AMS,SFO,CABIN0C,59
KL,661,7/1/2024,789,AMS,IAH,CABIN0B,39
KL,661,3/2/2024,789,AMS,IAH,CABIN0D,58
